Transaction,Asset Url,Asset Name,Price,From Name,From Url,To Name,To Url
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/8045,Outcast 8045,"$2,825.11",Snowsledge,https://opensea.io/Snowsledge,Driox,https://opensea.io/Driox
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/11024,Wassie 11024,"$2,456.62",Buck2pointO,https://opensea.io/Buck2pointO,Ribatejano,https://opensea.io/Ribatejano
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/3255,Wassie 3255,"$2,866.05",MEKA-BEN,https://opensea.io/MEKA-BEN,3peacesuit,https://opensea.io/3peacesuit
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/10607,Wassie 10607,"$2,415.67",Hornbill_0810,https://opensea.io/Hornbill_0810,C35C8D,https://opensea.io/0xc35c8d48553f02d0cded9a1eac241c4d628762f1
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/4214,Wassie 4214,"$2,456.62",dimmy,https://opensea.io/dimmy,C35C8D,https://opensea.io/0xc35c8d48553f02d0cded9a1eac241c4d628762f1
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/3183,Wassie 3183,"$2,443.92",OptiMatze,https://opensea.io/OptiMatze,C35C8D,https://opensea.io/0xc35c8d48553f02d0cded9a1eac241c4d628762f1
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/73,Wassie 73,"$2,210.95",david_vp,https://opensea.io/david_vp,0x37dd73,https://opensea.io/0x37dd73
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/10852,Wassie 10852,"$2,456.62",DxftCrxpt,https://opensea.io/DxftCrxpt,C35C8D,https://opensea.io/0xc35c8d48553f02d0cded9a1eac241c4d628762f1
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/3759,Wassie 3759,"$2,620.39",matrix68,https://opensea.io/matrix68,C35C8D,https://opensea.io/0xc35c8d48553f02d0cded9a1eac241c4d628762f1
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/3787,Wassie 3787,"$2,415.67",Admiral1,https://opensea.io/Admiral1,delfabz,https://opensea.io/delfabz
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/3251,Wassie 3251,"$2,866.05",MEKA-BEN,https://opensea.io/MEKA-BEN,4E9057,https://opensea.io/0x4e9057b9e52e4a96d4e17f6d7073ffc119a1983a
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/4240,Wassie 4240,"$2,825.11",tax,https://opensea.io/tax,C35C8D,https://opensea.io/0xc35c8d48553f02d0cded9a1eac241c4d628762f1
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/9409,Wassie 9409,"$2,415.67",JJJ312,https://opensea.io/JJJ312,C35C8D,https://opensea.io/0xc35c8d48553f02d0cded9a1eac241c4d628762f1
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/3450,Wassie 3450,"$2,415.67",NYC_NFT,https://opensea.io/NYC_NFT,zzzzzzzzzzzzzzzzzzzzz...,https://opensea.io/zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/4209,Outcast 4209,"$4,094.36",OSPirates,https://opensea.io/OSPirates,9A59F8,https://opensea.io/0x9a59f8774fcf431d11fcbc466febe55ab5b8da4a
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/11880,Wassie 11880,"$2,866.05",BD2C15,https://opensea.io/0xbd2c152256f33805c8581c7dd6f68dbde150994a,CommonTrashCollector,https://opensea.io/CommonTrashCollector
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/2082,Wassie 2082,"$2,251.90",coIIect,https://opensea.io/coIIect,j0k9r,https://opensea.io/j0k9r
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/2052,Wassie 2052,"$2,411.58",0xd09c,https://opensea.io/0xd09c,320E10,https://opensea.io/0x320e106911109efa4223b99fd1a5f7aaad863717
Sale,https://opensea.io/assets/0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea/4412,Wassie 4412,"$2,251.90",gbh,https://opensea.io/gbh,j0k9r,https://opensea.io/j0k9r
